zone_id,zone_name,total_rides,unfair_count,avg_hpi,avg_overcharge_unfair,total_overcharge_unfair,unfair_rate
138,Zone 138,9464,4,1.0001999419816223,14.815372422451995,59.26148968980798,0.00042265426880811494
262,Zone 262,5353,2,1.0017835277911196,42.035029887305676,84.07005977461135,0.00037362226788716606
100,Zone 100,6140,2,1.0000894996284748,19.13094005707537,38.26188011415074,0.0003257328990228013
180,Zone 180,4,0,1.0210152155770602,0.0,0.0,0.0
179,Zone 179,57,0,0.9972253486335769,0.0,0.0,0.0
191,Zone 191,19,0,0.9869851819348947,0.0,0.0,0.0
190,Zone 190,5,0,1.0255503491806408,0.0,0.0,0.0
189,Zone 189,21,0,1.0081718544996663,0.0,0.0,0.0
157,Zone 157,20,0,1.005670835628031,0.0,0.0,0.0
159,Zone 159,16,0,0.9982715687771807,0.0,0.0,0.0
188,Zone 188,29,0,1.0003492079222478,0.0,0.0,0.0
160,Zone 160,10,0,0.9926126206366368,0.0,0.0,0.0
185,Zone 185,3,0,1.0247053292831054,0.0,0.0,0.0
165,Zone 165,9,0,0.9927257879056298,0.0,0.0,0.0
193,Zone 193,40,0,0.9980278462235462,0.0,0.0,0.0
167,Zone 167,7,0,0.9753624312406333,0.0,0.0,0.0
183,Zone 183,2,0,1.0098009370325467,0.0,0.0,0.0
182,Zone 182,8,0,0.9726544065822411,0.0,0.0,0.0
168,Zone 168,23,0,1.011119372153949,0.0,0.0,0.0
169,Zone 169,9,0,0.9978808068959432,0.0,0.0,0.0
171,Zone 171,2,0,1.0482581520592567,0.0,0.0,0.0
173,Zone 173,2,0,1.0171137023381436,0.0,0.0,0.0
174,Zone 174,8,0,0.9913858190021347,0.0,0.0,0.0
175,Zone 175,3,0,0.9994341367052156,0.0,0.0,0.0
177,Zone 177,16,0,1.0069690134847975,0.0,0.0,0.0
178,Zone 178,1,0,0.9811418870213773,0.0,0.0,0.0
192,Zone 192,1,0,1.0140782615809667,0.0,0.0,0.0
208,Zone 208,4,0,1.0129025211865557,0.0,0.0,0.0
194,Zone 194,3,0,0.9559086363913382,0.0,0.0,0.0
247,Zone 247,28,0,0.9837486110878942,0.0,0.0,0.0
225,Zone 225,20,0,0.9980899497874116,0.0,0.0,0.0
226,Zone 226,204,0,1.0002065553349837,0.0,0.0,0.0
227,Zone 227,4,0,0.9852504594526541,0.0,0.0,0.0
228,Zone 228,19,0,0.9970196484620423,0.0,0.0,0.0
235,Zone 235,18,0,0.9823470362025883,0.0,0.0,0.0
240,Zone 240,1,0,1.0623700706006034,0.0,0.0,0.0
241,Zone 241,5,0,0.9577532325757495,0.0,0.0,0.0
242,Zone 242,15,0,0.9975633612639451,0.0,0.0,0.0
243,Zone 243,40,0,1.0028942547180049,0.0,0.0,0.0
244,Zone 244,195,0,0.9925797017001742,0.0,0.0,0.0
248,Zone 248,2,0,0.9961598166983628,0.0,0.0,0.0
195,Zone 195,10,0,1.0037463972929823,0.0,0.0,0.0
250,Zone 250,9,0,0.9959006719700528,0.0,0.0,0.0
252,Zone 252,1,0,0.967152565503524,0.0,0.0,0.0
253,Zone 253,2,0,1.0022672061398077,0.0,0.0,0.0
254,Zone 254,9,0,0.9829172158495106,0.0,0.0,0.0
255,Zone 255,145,0,1.0012181625075456,0.0,0.0,0.0
256,Zone 256,103,0,0.9990992521969561,0.0,0.0,0.0
257,Zone 257,3,0,0.9886345814624429,0.0,0.0,0.0
258,Zone 258,2,0,1.0071648419793164,0.0,0.0,0.0
259,Zone 259,5,0,1.003048146306681,0.0,0.0,0.0
260,Zone 260,51,0,0.9800572818152374,0.0,0.0,0.0
224,Zone 224,545,0,1.0013338031143733,0.0,0.0,0.0
223,Zone 223,49,0,0.9951347658648689,0.0,0.0,0.0
222,Zone 222,20,0,0.9992149898267307,0.0,0.0,0.0
221,Zone 221,1,0,0.9904083574216429,0.0,0.0,0.0
196,Zone 196,16,0,1.0132653240113656,0.0,0.0,0.0
197,Zone 197,29,0,1.0127401291381992,0.0,0.0,0.0
198,Zone 198,2,0,1.0460472201728082,0.0,0.0,0.0
200,Zone 200,8,0,1.013483769839406,0.0,0.0,0.0
201,Zone 201,4,0,1.0106654073509607,0.0,0.0,0.0
202,Zone 202,9,0,1.0006641508912513,0.0,0.0,0.0
203,Zone 203,14,0,1.0089931145667235,0.0,0.0,0.0
204,Zone 204,1,0,0.9365750666933089,0.0,0.0,0.0
206,Zone 206,3,0,1.0043973999482947,0.0,0.0,0.0
207,Zone 207,5,0,0.992219287813438,0.0,0.0,0.0
155,Zone 155,6,0,1.0011119419723824,0.0,0.0,0.0
209,Zone 209,516,0,1.0010134181565995,0.0,0.0,0.0
210,Zone 210,11,0,0.9830024923430648,0.0,0.0,0.0
212,Zone 212,4,0,0.9955978342764734,0.0,0.0,0.0
213,Zone 213,11,0,1.0177309450964367,0.0,0.0,0.0
214,Zone 214,2,0,0.9570314643575902,0.0,0.0,0.0
215,Zone 215,104,0,1.0019037237142796,0.0,0.0,0.0
216,Zone 216,75,0,1.0030644886653135,0.0,0.0,0.0
217,Zone 217,12,0,0.9890287745633838,0.0,0.0,0.0
218,Zone 218,23,0,1.012611873053771,0.0,0.0,0.0
219,Zone 219,37,0,1.003429379039953,0.0,0.0,0.0
156,Zone 156,1,0,0.9817115496819758,0.0,0.0,0.0
1,Zone 1,7,0,0.9711121836021231,0.0,0.0,0.0
154,Zone 154,3,0,0.9965291278625866,0.0,0.0,0.0
52,Zone 52,65,0,1.0093736103869757,0.0,0.0,0.0
37,Zone 37,16,0,1.034979491737446,0.0,0.0,0.0
38,Zone 38,15,0,1.007196196063075,0.0,0.0,0.0
39,Zone 39,44,0,1.0019755463334468,0.0,0.0,0.0
40,Zone 40,35,0,0.9978367448353249,0.0,0.0,0.0
42,Zone 42,256,0,0.9961447609534616,0.0,0.0,0.0
44,Zone 44,3,0,1.0008604870188214,0.0,0.0,0.0
45,Zone 45,446,0,1.000414666320806,0.0,0.0,0.0
47,Zone 47,3,0,0.9893308464536422,0.0,0.0,0.0
49,Zone 49,30,0,1.0010476594030033,0.0,0.0,0.0
51,Zone 51,17,0,0.9884610215432554,0.0,0.0,0.0
53,Zone 53,4,0,0.9936448677634829,0.0,0.0,0.0
35,Zone 35,20,0,1.0037811848819564,0.0,0.0,0.0
54,Zone 54,3,0,0.9499194580993301,0.0,0.0,0.0
55,Zone 55,13,0,0.9929847848972848,0.0,0.0,0.0
56,Zone 56,58,0,0.9963093211214856,0.0,0.0,0.0
57,Zone 57,1,0,1.092515243613052,0.0,0.0,0.0
60,Zone 60,3,0,0.9983495264313763,0.0,0.0,0.0
61,Zone 61,40,0,0.9933778955259637,0.0,0.0,0.0
62,Zone 62,12,0,1.0035600017791781,0.0,0.0,0.0
63,Zone 63,15,0,0.9861028480749794,0.0,0.0,0.0
64,Zone 64,4,0,1.0024783452790338,0.0,0.0,0.0
65,Zone 65,154,0,1.001395723321881,0.0,0.0,0.0
36,Zone 36,12,0,1.0268906524010217,0.0,0.0,0.0
34,Zone 34,3,0,0.9797979339797819,0.0,0.0,0.0
67,Zone 67,3,0,0.9479156269041181,0.0,0.0,0.0
19,Zone 19,5,0,0.9966661010174092,0.0,0.0,0.0
5,Zone 5,5,0,0.9978214498470239,0.0,0.0,0.0
6,Zone 6,4,0,0.9871773815749371,0.0,0.0,0.0
9,Zone 9,4,0,0.9792871648883066,0.0,0.0,0.0
10,Zone 10,155,0,1.0024816210007055,0.0,0.0,0.0
11,Zone 11,6,0,0.9686542280941195,0.0,0.0,0.0
14,Zone 14,25,0,1.007360075586371,0.0,0.0,0.0
15,Zone 15,5,0,1.0055980009481424,0.0,0.0,0.0
16,Zone 16,3,0,0.9669127046880658,0.0,0.0,0.0
17,Zone 17,17,0,1.010243450295617,0.0,0.0,0.0
18,Zone 18,6,0,1.0350335403120834,0.0,0.0,0.0
20,Zone 20,2,0,0.9763666433580046,0.0,0.0,0.0
33,Zone 33,113,0,0.9997800801272183,0.0,0.0,0.0
21,Zone 21,10,0,0.98814300764565,0.0,0.0,0.0
22,Zone 22,5,0,0.991361178484517,0.0,0.0,0.0
23,Zone 23,10,0,1.0061706992600463,0.0,0.0,0.0
24,Zone 24,1092,0,1.0003295768682394,0.0,0.0,0.0
25,Zone 25,110,0,0.9989337864958209,0.0,0.0,0.0
26,Zone 26,9,0,1.0145549457151417,0.0,0.0,0.0
