,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,improvement_surcharge,Airport_fee,temperature_avg,precipitation,is_raining,hour,day_of_week,is_weekend,month,day_of_month,week_of_year,quarter,is_holiday,trip_duration_minutes,avg_speed_mph,distance_squared,duration_squared,temp_fahrenheit,temp_deviation,extreme_weather,same_borough,pickup_density,hourly_pickup_count,zone_hourly_pickup_count,is_peak_hour,is_late_night,surge_likelihood,trip_complexity,extreme_distance_flag,zero_distance_flag,rain_rush_hour,weather_distance,peak_hour_distance
day_of_month,-0.003551902919916521,-0.028033966875560822,-0.00861822353890997,-0.006652389298403065,0.009533655824461758,0.011571064127034002,-0.040139676975190955,0.011508251908813893,,-0.6587763162341919,-0.35328758384087094,-0.5172377511359753,0.041641887333940864,-0.0256912941607059,0.014255528662630185,0.01904719471664143,1.0,-0.33021956387784396,0.01893615462996575,-0.3842199193768561,-0.005997052006322674,-0.0017834635374365888,-0.0002629752970196219,-0.0028196931874941997,-0.6587763162341919,-0.6587763162341919,-0.5172377511359753,0.022807504278590934,0.014429098907165611,0.2073543722441261,0.07856941174976172,0.008994867371078788,-0.037821584233421975,0.18670075818399476,1.2831893261382759e-05,-0.028135652093969777,,-0.19567688257736443,-0.05446547094395089,-0.0018599654686351772
week_of_year,0.006698122093284103,0.03885991324197564,0.008357680115203086,-0.004008483486302837,-0.02250905510990909,-0.02093546926038612,0.023301644750286492,-0.0023640941966091974,,0.2506389167496971,0.320851721390588,0.12772453818412347,-0.10278461386512547,0.3057218487399939,0.33098706885576,0.019635600115139745,-0.33021956387784396,1.0,0.019577888929398147,0.9978098185606774,0.008772835981980903,0.0010935445147809467,-0.00042257176470415997,0.0052565952024300885,0.2506389167496971,0.2506389167496971,0.12772453818412347,-0.03330141654778662,-0.06289945872583243,-0.2109137108770616,-0.09754311877964214,-0.143067306227787,0.16736442158759457,-0.05550923662507972,-0.0003925587855768215,0.02116390269487892,,-0.1247742061653034,0.01958753873556479,-0.01951256972631812
quarter,0.0026822473105304312,-0.0009305140113278258,-0.00013378114518283583,-9.989559977473273e-06,-0.0007221291896047857,-0.0009957667505066717,0.00047031531397416574,-0.018737376428413315,,5.781611682733772e-05,0.0012933182034056182,-0.006083645361001456,0.0034971998382269695,0.0027529441540513513,0.005056816381358197,0.9972398222632417,0.01893615462996575,0.019577888929398147,1.0,-0.0009709866749792473,-0.0005104608389349752,0.00036650488648872723,-8.900591328286627e-06,-0.00012947419746704445,5.781611682733744e-05,5.781611682733713e-05,-0.006083645361001455,-0.00012525543105356215,-0.001752981011623231,-0.014238345274811687,-0.006149995154880239,-0.0024091977688791588,0.0002432193478986689,-0.018797523326889064,-8.737047402167015e-06,-0.00041322881971903486,,-0.002299695778153173,-0.0005433726749797318,-0.000318616366550417
is_holiday,0.007077615238316993,0.040735046293932715,0.008575918112469036,-0.00385829524273046,-0.02314716762062554,-0.021688608837688823,0.02502439631089433,-0.002639028476455969,,0.2816003253954635,0.33939248489668594,0.15960606139267167,-0.10452049788741267,0.3247766345263192,0.34149833137186053,-0.0009683065791753982,-0.3842199193768561,0.9978098185606774,-0.0009709866749792473,1.0,0.00885117157248472,0.0011626071083966874,-0.0004133622846153702,0.005342554191088148,0.2816003253954635,0.2816003253954635,0.15960606139267164,-0.03358041436914606,-0.06392514596578881,-0.217302685607024,-0.09997026625497203,-0.14862203424018616,0.16979627569329597,-0.06107310866421412,-0.0003986135299397398,0.02197760755262345,,-0.11295261058273424,0.022565747277196152,-0.020162314461314747
trip_duration_minutes,0.017385528362627287,0.021279570126983845,0.05057726154108276,0.03507614953312251,-0.03063339616687599,-0.027948768181287907,0.0023521252215711083,-0.0033967593273305425,,0.01203630763503071,0.0082211841210028,0.008817650025811048,-0.0011388472192842935,-0.0014260692240529952,-0.004381450673902849,-0.0004864168162131651,-0.005997052006322674,0.008772835981980903,-0.0005104608389349752,0.00885117157248472,1.0,-0.00039724831142807436,0.0003804181937331112,0.9026624812325017,0.012036307635030712,0.01203630763503071,0.00881765002581105,-0.1621035480838939,0.03804195509271352,0.008266860854835094,0.03712627403493797,-0.006826537357467193,-0.0019124097008112316,0.0024738035902095263,-8.59675885282898e-05,0.15676725265054692,,-0.0028433254547469925,0.03458351728565253,0.025259243304107774
avg_speed_mph,-0.0009766737412067442,-0.0009993969349512207,0.18395605569223092,0.0010981901905841723,-0.001338224725976125,-0.001205965315750039,0.005081605429803844,0.00015339665348724636,,0.0006060482816009187,-0.0006733833156924158,0.00017653753304553547,-7.852694686860501e-05,-0.0001464130879241082,0.0008655723415378356,0.0003091926758733635,-0.0017834635374365888,0.0010935445147809467,0.00036650488648872723,0.0011626071083966874,-0.00039724831142807436,1.0,0.16223400320805342,-0.0008042058517856272,0.0006060482816009186,0.0006060482816009181,0.00017653753304553536,-0.01044340059844028,-0.0007539452868228442,-0.0050464906805475045,-0.0007516629053900234,-0.0005094268982121432,0.002630560170055029,-0.004701139599902595,0.4723397228306136,0.01645489557426869,,0.0002507249324872707,0.1835226141760061,0.17489115301431496
distance_squared,0.0011945292756568068,-0.0004510612698774404,0.97105090570336,-9.924905771103767e-05,0.002938584711764919,0.0008164038860539627,-0.0001824627987716818,9.007923929919144e-05,,0.00037290271082996205,-0.0010019361398956052,0.0014333467481841434,0.0007554411534343025,-0.000765739522810557,-0.0012470265270779395,-8.8601072443194e-06,-0.0002629752970196219,-0.00042257176470415997,-8.900591328286627e-06,-0.0004133622846153702,0.0003804181937331112,0.16223400320805342,1.0,-3.73512645890627e-05,0.0003729027108299621,0.00037290271082996226,0.001433346748184143,-0.004974572832288164,9.431262967191347e-05,0.0014150720722675672,0.00013676586856617038,5.242258067182267e-05,-0.0005794696752896188,0.0002268384499810475,0.8422095165739828,0.008723523177469675,,0.000575671697817449,0.9767038794904295,0.5578427395806663
duration_squared,0.016223111585460772,0.011413181370463092,0.0027592637503695778,0.00012370191556915178,-0.003500410843595355,-0.0022555544737565677,0.005672225811806875,-0.0029438132373114183,,0.002058124631597179,0.002122416042717791,0.0019582175663286983,-0.004407299376952124,0.0025217272905713787,0.0034203309400712293,-0.0001287960225574412,-0.0028196931874941997,0.0052565952024300885,-0.00012947419746704445,0.005342554191088148,0.9026624812325017,-0.0008042058517856272,-3.73512645890627e-05,1.0,0.0020581246315971797,0.0020581246315971797,0.001958217566328698,-0.009339283008679918,-0.001982099694431078,-0.003505919693180224,-0.0010624535307234622,-0.003281417767298822,0.006880594629563553,0.0001898400839039349,-5.34934774022588e-05,0.009130037371647618,,-0.0025592086414509053,0.001723560010953366,0.0017243195238232556
temp_fahrenheit,-0.004490680995757011,0.005310256119272239,0.005652770486423283,0.008199210700980314,0.002814046125697249,2.8396263477065497e-05,0.02908771483254394,-0.008533307735760517,,1.0,0.7249533173761414,0.6398547861632452,0.01551401452211952,-0.10749433341104637,-0.38006197186672763,5.765653406928043e-05,-0.6587763162341919,0.2506389167496971,5.781611682733744e-05,0.2816003253954635,0.012036307635030712,0.0006060482816009186,0.0003729027108299621,0.0020581246315971797,1.0,0.9999999999999999,0.6398547861632452,-0.016698898802143255,0.013497783428104971,-0.034671698679720836,-0.020047330720436084,0.16219176086679638,-0.039825356504047615,-0.04422396755808044,0.0002136764000485647,0.0187829789317746,,0.37236453802873865,0.06245431519070796,0.023545946332734106
temp_deviation,-0.004490680995757015,0.00531025611927224,0.005652770486423283,0.008199210700980316,0.002814046125697258,2.839626347706142e-05,0.02908771483254395,-0.008533307735760517,,0.9999999999999999,0.7249533173761415,0.6398547861632453,0.015514014522119516,-0.10749433341104636,-0.38006197186672763,5.765653406928012e-05,-0.6587763162341919,0.2506389167496971,5.781611682733713e-05,0.2816003253954635,0.01203630763503071,0.0006060482816009181,0.00037290271082996226,0.0020581246315971797,0.9999999999999999,1.0,0.6398547861632453,-0.016698898802143244,0.01349778342810496,-0.03467169867972084,-0.02004733072043609,0.16219176086679635,-0.039825356504047636,-0.044223967558080446,0.00021367640004856471,0.018782978931774594,,0.3723645380287387,0.06245431519070797,0.023545946332734102
